"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"Round","round","25519","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/5-Round-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/15-Round-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Shroud","1|1|1","","","","","10ml|12ml|15ml|5ml","0|1|1",""
"Test Tube Frosted","test-tube-frosted","25530","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Shroud","1|1|1","","","","","30ml","0|1|1",""
"Crib Frosted","crib-frosted","25536","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","30ml","0|1|1",""
"Cylindrical","cylindrical","25543","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","30ml","0|1|1",""
"Teardrop Frosted","teardrop-frosted","25550","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","70ml","0|1|1",""
"Volcano Frosted","volcano-frosted","25557","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","30ml","0|1|1",""
"Round Roll-on","round-roll-on","25564","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Gold-Cap-Sale.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Gold-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Plastic-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Silver-Matte-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Silver-Shiny-Cap.jpg","variable","glass bottles","","","","Gold Cap|Gold Cap (Sale)|Plastic Cap|Silver Matte Cap|Silver Shiny Cap","1|1|1","","","","","10ml","0|1|1",""
"Round Roll-on Frosted","round-roll-on-frosted","25570","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-Frosted-+-Plastic-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-Frosted-+-Silver-Matte-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-Frosted-+-Silver-Shiny-Cap.jpg","variable","glass bottles","","","","Plastic Cap|Silver Matte Cap|Silver Shiny Cap","1|1|1","","","","","10ml","0|1|1",""
"Round Dream Rollette","round-dream-rollette","25574","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/8-Round-Dream-Rollette-+-Plastic-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/8-Round-Dream-Rollette-+-Pump-Spray.jpg","variable","glass bottles","","","","Plastic Cap|Pump Spray","1|1|1","","","","","8ml","0|1|1",""
"Clean Frosted","clean-frosted","25577","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg","variable","glass bottles","","","","Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny","1|1|1","","","","","60ml","0|1|1",""
"Faraway","faraway","25581","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Faraway-+-Pump-Spray.jpg","variable","glass bottles","","","","Pump Spray","1|1|1","","","","","10ml","0|1|1",""
"Square Black","square-black","25583","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Square-Black-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Square-Black-+-Splash-On-Cap.jpg","variable","glass bottles","","","","Pump Spray|Splash On Cap","1|1|1","","","","","10ml","0|1|1",""
"Triangle","triangle","25586","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/15-Triangle-+-Pump-Spray.jpg","variable","glass bottles","","","","Pump Spray","1|1|1","","","","","15ml","0|1|1",""
"Bell","bell","25588","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/20-Bell-+-Pump-Spray.jpg","variable","glass bottles","","","","Pump Spray","1|1|1","","","","","20ml","0|1|1",""
"Twist","twist","25590","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/15-Twist-+-Pump-Spray-Fancy.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Twist-+-Pump-Spray-Fancy.jpg","variable","glass bottles","","","","Pump Spray Fancy","1|1|1","","","","","15ml|50ml","0|1|1",""
"Madrid","madrid","25593","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Madrid-+-Pump-Spray-Fancy.jpg","variable","glass bottles","","","","Pump Spray Fancy","1|1|1","","","","","30ml","0|1|1",""
"Gucci","gucci","25595","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Gucci-+-Pump-Spray-Fancy.jpg","variable","glass bottles","","","","Pump Spray Fancy","1|1|1","","","","","30ml","0|1|1",""
"Glow","glow","25597","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Glow-+-Pump-Spray-Fancy.jpg","variable","glass bottles","","","","Pump Spray Fancy","1|1|1","","","","","50ml","0|1|1",""
"Rebecca","rebecca","25599","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Rebecca-+-Pump-Spray-Fancy-Silver-Shiny.jpg","variable","glass bottles","","","","Pump Spray Fancy Silver Shiny","1|1|1","","","","","30ml","0|1|1",""
"Duo","duo","25601","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/5-Duo-+-Screw-Cap.jpg","variable","glass bottles","","","","Screw Cap","1|1|1","","","","","5ml","0|1|1",""
"Amber Vial","amber-vial","25603","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/20-Amber-Vial-+-Silicone-Dropper.jpg","variable","glass bottles","","","","Silicone Dropper","1|1|1","","","","","20ml","0|1|1",""
"Square","square","25605","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Square-+-Splash-On-Cap.jpg","variable","glass bottles","","","","Splash On Cap","1|1|1","","","","","10ml","0|1|1",""
"Square Frosted","square-frosted","25607","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Square-Frosted-+-Splash-On-Cap.jpg","variable","glass bottles","","","","Splash On Cap","1|1|1","","","","","10ml","0|1|1",""
